A_bl,b3,PBR_eff,L0,L_ol0
7.679633408586018506e-01,-1.263895045230953654e-02,2.928541211857551008e-01,1.922091322048488538e+00,1.430847571395016473e+02
6.855353611122786406e-01,-1.180068856803584768e-02,1.456031715705764597e-08,1.876110772717015429e+00,1.442407084119755609e+02
6.574111385526650864e-01,-1.070942138555077035e-02,6.170478511317272208e-01,1.867379059827133814e+00,1.353470961407508355e+02
7.029973609945178170e-01,-1.358112858390646445e-02,3.010987629095835505e+00,1.943537551986837419e+00,7.344016963471408592e-08
8.084246973979897222e-01,-1.387550283138261169e-02,1.313277362881415833e+00,1.915980496579575698e+00,6.504821826482539482e-12
8.874651138687016383e-01,-1.498838873203594060e-02,6.775714500752053235e-15,1.910031211188875089e+00,1.538649389819368878e+02
6.225759510224025961e-01,-9.981020505489253056e-03,1.094073423105824450e+00,1.911920758996600966e+00,9.944336819491840629e+01
6.948641427369091073e-01,-1.136989346343265234e-02,2.261196347040278720e+00,1.958129410418547156e+00,8.758501838672185099e-09
5.981516518121532400e-01,-9.519149783802990580e-03,4.045658075141038768e-15,1.873001352932758490e+00,1.469644448700679504e+02
8.972526072578465017e-01,-1.489556766857879147e-02,1.490492687605165512e-01,1.947009282283017173e+00,1.988330207465739079e+02
7.091002907244799980e-01,-1.249679935818049856e-02,3.135616016669650064e-01,1.913915887666693294e+00,1.819629287873075612e+02
1.160354655236395915e+00,-1.881667358454064062e-02,6.159319956435901355e-01,1.941558431859091050e+00,1.357691627947388895e+02
6.393924243323600987e-01,-1.060532547678027376e-02,1.785346321196512376e+00,1.894042608513809789e+00,1.089498370368456364e+02
7.688118503984787688e-01,-1.272519382811979245e-02,2.627981613127781557e+00,1.898109808754649297e+00,4.027970676754652857e+01
8.445651926402597542e-01,-1.519878410249912021e-02,2.965018152191222813e-11,1.950713936104526702e+00,1.404405759443180841e+02
6.924486327965311272e-01,-1.123067245759763570e-02,2.837722817983752993e-10,1.909048151009570704e+00,1.977073372789898826e+02
7.188106811410002184e-01,-1.188548479850960737e-02,5.412512290041244789e-01,1.918124337450267891e+00,1.684101050408186211e+02
8.086801555746444548e-01,-1.445093053863216737e-02,1.511845727663879471e-10,1.929057563634590133e+00,1.526662387177031519e+02
8.400648417166475257e-01,-1.468610465700623605e-02,3.021055643074592290e+00,1.957166255598675075e+00,2.976984408250642325e-08
7.122849808422132556e-01,-1.150139804139096653e-02,2.812336633292329968e-01,1.906581847707481403e+00,2.059309965232323236e+02
7.841413120433691208e-01,-1.275931453739917974e-02,2.441429267149487270e+00,1.961042200766856869e+00,4.517891436905114287e-10
6.890066278580722070e-01,-1.183244600748472285e-02,4.133306094526274510e-01,1.924910249944104423e+00,1.547104527263277021e+02
